text	label	prediction
周杰伦可爱在哪里?	评价类	评价类
为什么时下的流行歌总是些失恋,分手的歌?	原因类	原因类
《我在那一角患上过伤风》这歌谁作曲的????	事实类	事实类
JAY的十大金曲是哪十首?	枚举类	枚举类
杰伦何时来美国开演唱会?	事实类	事实类
神起出过几张专辑?	事实类	事实类
我型我秀里的组合叫什么名字	事实类	事实类
北京欢迎你韩庚拍摄地点在哪里	事实类	事实类
2007CCTV综艺盛典在哪举行?	事实类	事实类
张杰他妈妈的店在哪	事实类	事实类
qq宠物熊什么时候再放号啊?	事实类	事实类
谢霆锋和张柏芝的儿子何时出生?	事实类	事实类
谁是韩庚?给我介绍介绍,好多朋友多说他好...	描述类	描述类
谁知道标准的我爱久久的歌词啊?	需求类	需求类
唱<<飞向别人的床的>>光光是谁?	事实类	事实类
谢娜和张杰的身高分别是多少	枚举类	枚举类
RAIN的新专辑都有甚么歌?	枚举类	枚举类
SJ-M的主打歌U的歌词是什么?	需求类	事实类
ss501的人气是多少?	事实类	事实类
有一个女模特.在中国人看来很丑.但是她跑带外国就很受欢迎.她叫什么名字?	事实类	事实类
Jay的祖籍是哪里的??	事实类	事实类
super junior 有一个MV是韩庚和始源拍的,那个MV是哪首歌的?	事实类	事实类
"东方神奇唱的""咒语”歌词是?"	需求类	事实类
韩庚2008在哪个公司	事实类	事实类
谁有飞轮海的签名相?	需求类	需求类
东方神起现在用的手机是什么牌子的(型号也要说)	事实类	事实类
想找个好听点的嗨曲谁推荐个?	推荐类	推荐类
有谁知道六线谱的网站就是弹吉他用的	需求类	需求类
俞灏明的EP在哪里有买?	需求类	需求类
哪个给我一个不错的音乐社区	需求类	推荐类
山寨春晚哪个网站直播啊?	需求类	需求类
为什么每个明星都有艺名?	原因类	原因类
SJ出演过什么节目	枚举类	枚举类
那里有刘亦菲和成龙参加快乐大本营的视频(6月初的)?	需求类	需求类
晴天的歌词可以告诉我么/?~ `	需求类	需求类
张力尹到底是哪国人啊	事实类	事实类
在哪可以买张杰正版的歌碟?	推荐类	需求类
韶涵和谁最配?	推荐类	推荐类
如果唐禹哲要加入飞轮海里,但必须还是四个人你觉得让谁下去比较好捏?	推荐类	推荐类
周杰伦西安演唱会视频在哪看?	需求类	需求类
明道-阮经天-谁才配的上陈乔恩?	评价类	评价类
刘亦菲家在北京的具体位置在哪?	事实类	事实类
<<深深爱过你>>(薛之谦) 共有几个版本?	事实类	事实类
贝多芬的代表作有哪些?	枚举类	枚举类
信乐团共有几张专集?	事实类	事实类
有谁的摇滚比较好听的,告诉我哦!	推荐类	推荐类
谁有好点的音乐?	推荐类	推荐类
怎么找新的流行音乐?	方法类	方法类
J-Rock的舞在世界排多少?	事实类	事实类
娱乐圈谁比较红	推荐类	推荐类
王菲的 歌:将爱 歌词是什么	需求类	需求类
一个玩摇滚的鼓多少钱?	事实类	事实类
谁知道什么歌的网站	推荐类	需求类
钢琴的网站都那些?	需求类	枚举类
谁有比较伤感的音乐啊???	推荐类	推荐类
谁能把周杰伦所有的歌给我啊	需求类	需求类
有没有70-90年代的老歌手的歌或人?..	推荐类	推荐类
最近有什么刚出道的明星	枚举类	枚举类
滨崎步的歌有多少首?	事实类	事实类
谁能帮把郑源所有的歌给我啊?	需求类	需求类
有什么网站可以找到好听的歌?	需求类	推荐类
谁知道最好听的音乐网站是多少?	推荐类	推荐类
有什么网站听歌好一点..更新快点的?	推荐类	推荐类
"谁帮我将""情人不会忘记""剧情版的歌词打出来?"	需求类	需求类
为什么我的QQ音乐听过的音乐无法出现在列表中?	原因类	原因类
一首不知道的歌名	事实类	事实类
为什么喜欢听抒情的歌?	原因类	原因类
为什么现在没有特别好听和动感的歌曲?	原因类	推荐类
谁先发现了音乐?	事实类	事实类
谁知道可爱点的音乐啊?	推荐类	推荐类
SJ分了几只	事实类	事实类
怎样的人喜欢伤感的歌?	原因类	评价类
哪里有好听的RAP?	需求类	推荐类
Jay和JJ谁在娱乐圈里待的时间会更长一些?	评价类	评价类
非主流歌网站有谁知道??韩国非主流歌的网站也要!!!	推荐类	推荐类
对不起我爱你的歌词是谁写的?	事实类	事实类
网络歌曲,谁知道CK的歌.最好能下载的	需求类	需求类
说好的幸福呢?歌词 谁有?	需求类	需求类
你们最喜欢的歌词是那一句啊,.?	推荐类	推荐类
那位知道《摇滚怎么了》的歌词?	推荐类	需求类
王力宏是多久出名的.?	事实类	事实类
<想太多>. 是哪个的歌..?	事实类	事实类
<北京欢迎你>的MV和歌是怎么拍摄的?	描述类	方法类
世界上谁的歌好听啊	推荐类	推荐类
QQ音乐要多少分才能点亮?	事实类	事实类
我的个性签名那个位置怎么不能显示我的QQ音乐所听的歌啊?	方法类	原因类
我想知道最进的歌手新歌谁排在第一位	推荐类	推荐类
现在流行的英文歌及歌手?	推荐类	推荐类
谁有黄家驹所有的歌?	需求类	需求类
何洁和谁一起唱Boy	事实类	事实类
飞轮海里有里些人?	枚举类	枚举类
谁有东方神起的所有的歌?	需求类	枚举类
JAY的歌你们知道多少~~~	枚举类	枚举类
关于奥运会的歌一共有几首?	事实类	事实类
现在谁最有钱?在娱乐圈?	推荐类	推荐类
2010年春晚有什么节目	枚举类	枚举类
为什么明星都看起来比较好看	原因类	原因类
谁知道最近有没有刚出道的明星?	枚举类	枚举类
BOBO是内地最红的组合吗	评价类	评价类
我不知道你在想什么的这句歌词是谁唱的	事实类	事实类
谁有<爱我别走>得歌词?周杰伦的!	需求类	需求类
有你们觉得很好听的老歌吗?	推荐类	推荐类
信乐团开过哪些演唱会?	枚举类	枚举类
谁的慢歌好听?	推荐类	推荐类
郑源的个有多少人喜欢	事实类	事实类
最新的非主流歌曲名字???	枚举类	推荐类
罗志祥个人博客是什么网址啊	事实类	事实类
张学友现在几岁那?	事实类	事实类
谁有张学友专辑	需求类	需求类
信乐团有几个人组成的?	事实类	事实类
谁听过这个歌词知道的告诉下	事实类	事实类
谁知道《星星》这首歌的歌词?	需求类	需求类
最火的DJ叫什么名字	推荐类	推荐类
歌特是什么风格?	事实类	事实类
王力宏的歌曲有多少	事实类	事实类
有舞曲的吗?给我点啊	推荐类	推荐类
谁有DJ的歌要舞曲	推荐类	需求类
伤心的时候可以听情歌谁唱的	推荐类	推荐类
谁唱的情歌好听	推荐类	推荐类
现在哪里最新的歌下载呢?	需求类	需求类
- -! 哪里有好听的歌诶	推荐类	推荐类
问一下这首歌的歌名叫怎么?	事实类	事实类
谁的歌曲最好听?	推荐类	推荐类
"急求:""世界有有名的钢琴曲和JAY流行歌曲钢琴版本MP3网址?"	需求类	需求类
谁能帮我弄个曲子啊	推荐类	需求类
谁有QQ音乐种子给我2个咯	需求类	需求类
五月天共有几首歌,歌名写出来~要绝对全的	枚举类	事实类
网络歌手长的---peerless的歌词中文翻译是什么?	描述类	描述类
真的爱你是黄家驹为谁写的歌?	事实类	事实类
有什么网站下载音乐比较好啊?最好可以一下子下载很多的那种。	需求类	推荐类
近期的新歌啊?	枚举类	枚举类
jay现在又出新歌没有啊?知道的人告诉我一下?	是非类	是非类
你觉得JAY和谁最配啊?	推荐类	推荐类
爱我别走是JAY无与伦比演唱会唱的?	是非类	是非类
SHE的新专辑销量是多少	事实类	事实类
在网上有谁能教我唱歌	需求类	方法类
SJ里面有几个中国人?	事实类	事实类
济南哪里有卖许嵩专辑的?	需求类	需求类
许嵩的专辑哪有卖的?	需求类	需求类
谁知道飞轮海的新专辑	事实类	事实类
任贤齐老婆是谁叫什么	事实类	事实类
Eminem除了在纽约开过演唱会还在哪开过?	枚举类	枚举类
在那能找伤感的有节奏的歌曲??	需求类	推荐类
男歌手谁比较帅	推荐类	推荐类
娱乐圈到底是甚么?	描述类	描述类
现在有什么好看的男明星(30岁以下)	推荐类	推荐类
你最喜欢的明星的资料,推荐一下?	推荐类	推荐类
JAY的中国风歌曲?	枚举类	枚举类
什么歌唱的时间最长?	推荐类	事实类
林志颖多少年出生啊??	事实类	事实类
音乐你们都是到哪里听的啊	推荐类	枚举类
具说萧亚轩他以前唱的有些歌曲都不适合她唱?	是非类	评价类
周杰伦的《爱我别走》的歌词??	需求类	需求类
BOBO有哪几张专辑?	事实类	枚举类
谁知道周杰伦的专辑都叫什么?	事实类	枚举类
<越人歌>是什么人写的?	事实类	事实类
刘德华演唱会今年在哪?	事实类	事实类
有谁知道周杰伦的新专集	事实类	事实类
阿信最大的魅力?	评价类	评价类
什么时候徐子祥才能成为明星?	评价类	评价类
哪里可以听非主流歌?	需求类	推荐类
CK的《他不知道》的歌词谁知道?	需求类	需求类
还有没有人知道东方神起的一些中文歌曲?	枚举类	枚举类
求几首周杰伦的歌词!!	需求类	需求类
我想知道这首歌的歌词的意思	描述类	描述类
谁告诉我星星谁爱你的歌词是什么???	需求类	需求类
谁有比较伤感的歌词	推荐类	推荐类
喜欢摇滚的多吗?	是非类	评价类
东方神起的所有成员真实的身高体重是多少?	枚举类	枚举类
有谁知道周星驰多大?	事实类	事实类
谁有比较Hi的 舞曲啊 ?	推荐类	推荐类
哪个网站有中国流行歌曲的排行榜阿?	需求类	需求类
大家喜欢听什么样的歌曲·是感动的·还是伤感的·还是··	评价类	推荐类
听歌的乐趣在于什么?欣赏他的歌词?	评价类	评价类
说好的幸福呢这首歌的MV讲的是什么故事啊	描述类	描述类
怎么抓MV的图?3秒的.	方法类	方法类
谁有节奏感强的音乐	推荐类	推荐类
听哪种歌曲会有幸福的感觉?	推荐类	推荐类
哪里有比较好听的歌哦?	推荐类	推荐类
世界上有最有感情的曲子?	推荐类	推荐类
谁知道悲伤这首歌的连接	需求类	需求类
在哪找QQ音乐	需求类	需求类
我们都会错谁唱的?	事实类	事实类
jay世界巡回演唱会到过哪里	枚举类	枚举类
王力宏最近的一场演唱会叫什么?	事实类	事实类
BEYOND的日本演唱会在哪找?	需求类	需求类
我很喜欢潘玮柏,最近他在干什么啊?	描述类	描述类
飞轮海里面有哪写人	枚举类	枚举类
谁能给我《爱的翅膀》的歌词	需求类	需求类
啊有动感点的歌啊.?有多少要多少哦.!	推荐类	推荐类
有多少歌手唱海豚音唱的好?	推荐类	事实类
谁的蓝调最好听?	推荐类	推荐类
谁知道杨丞琳的父母叫什么名?	枚举类	事实类
JAY到底喜欢谁呢?	推荐类	事实类
《寻找周杰伦》这部电影讲的是什么?	描述类	描述类
大家觉得Declan的哪张专辑最好听?	评价类	推荐类
最近谁有新专辑啊	枚举类	枚举类
SJ三辑啥时候出来吖?	事实类	事实类
上海哪里有买东方神起的东西?	需求类	需求类
什么样的音乐使人轻松	推荐类	评价类
《梁祝》的词曲作者?	事实类	事实类
现在有什么人出了新专辑啊,谁来告诉我一下啊?	枚举类	枚举类
宝儿出过几张专集?	事实类	事实类
现在有哪些比较流行的歌手?	推荐类	推荐类
刘德华在影视上因为哪部电影出名的?	事实类	事实类
中国有嘻哈乐么?	是非类	是非类
小沈阳是以什么出名的?	原因类	原因类
蔡旻佑唱的 我可以 歌词谁知道 ?	需求类	需求类
蔡依林全国是女歌手中最红的吗??	是非类	评价类
娱乐圈里有真正的友谊吗~?	评价类	是非类
有谁知道得到你的人却得不到你的心 的歌词	需求类	需求类
张杰有多喜欢谢娜?	评价类	评价类
周杰伦 春晚第几?	事实类	事实类
今天的春晚会来谁哦?	枚举类	事实类
周杰伦上过那几年的春晚	事实类	枚举类
有没有好看的男明星?	推荐类	推荐类
我要成明星!谁能帮我?	评价类	方法类
娱乐圈是个复杂的社会地位?	是非类	评价类
陈冠希现在在哪个国家?	事实类	事实类
刘德华哪年生啊?	事实类	事实类
现在在哪个网站或者哪个工具听歌比较好?	需求类	推荐类
工作的时间听什么音乐最好啊?	推荐类	推荐类
我爱记歌词里的王滔是不是要离开我爱记歌词了?	是非类	是非类
《说好的幸福呢》歌词是谁写的	事实类	事实类
原来我不帅的背景曲是?	事实类	事实类
一千年以后这首歌谁唱的	事实类	事实类
JAY的专辑多会发行?	事实类	事实类
JJ有那几张专辑?	事实类	枚举类
谁知道胡歌拍的连续剧都有哪些。那部最好看?	枚举类	推荐类
beyond谁唱歌好听啊	推荐类	推荐类
明星一般都做什么了?	描述类	枚举类
明星算什么东西?	评价类	描述类
罗志祥《敢不敢》的歌词是什么?	需求类	需求类
王菲是哪个公司的??	事实类	事实类
这是谁啊?给点资料	描述类	描述类
谁有黑色幽默的lrc歌词?用回答问题的方式告诉我好吗?	需求类	需求类
谁知道滨崎步的最新专辑是什么?里面有几首歌?	枚举类	事实类
CK的歌去哪找	需求类	需求类
怎么样知道网络歌的地址?	方法类	方法类
罗志祥的博客是多少?怎么那么多人冒充	事实类	需求类
谁能告诉我点明星的资料 谁的都行	描述类	描述类
周杰伦和张学友你喜欢谁多一点?	评价类	评价类
周杰伦的新歌好不好听?	评价类	评价类
飞轮海有几名成员?叫什么?	枚举类	事实类
有谁有sara版的命运的歌词,不是rain的那个	需求类	需求类
求这首歌的歌词?	需求类	需求类
谁有一些比较伤感的歌词?	推荐类	推荐类
BEYOND的这个演唱会叫什么?	事实类	事实类
何洁在哪开演唱会	事实类	枚举类
活埋这首歌谁唱的	事实类	事实类
林依晨是哪里人?具体一点!	事实类	事实类
谁将是王力宏的幸福女友?	事实类	推荐类
何炅的真实年龄是多少岁?不要给我虚假的!	事实类	事实类
最近有什么好看的偶像距	推荐类	推荐类
Rain出道几年了?	事实类	事实类
我的小白的歌词是什么?	需求类	事实类
在论坛的哪儿找歌	方法类	需求类
着名的哥特乐队都有哪些?	推荐类	推荐类
周杰伦的电影到哪找啊?	需求类	需求类
请问有没有个专业一点的伴奏网站?	需求类	推荐类
谁有(后悔的来找我)这首歌的歌词?	需求类	需求类
在哪可以搜到好听的歌	需求类	推荐类
周杰伦的歌,我身边的人都很喜欢,而我更欣赏歌中所唱的词,那么你们认为哪十句是感动人的歌词?	推荐类	推荐类
哪个男星的歌好听	推荐类	推荐类
钢琴是谁最早发明的?	事实类	事实类
周杰伦最爱吃什么???	枚举类	事实类
QQ音乐哪个版本点击右键可以查找自己播放列表里的歌曲?	事实类	事实类
到底有没有《蓝宫调》这个专辑?	是非类	是非类
QQ音乐的歌曲能下载多少?	事实类	事实类
有谁知道唱这首歌的歌手?	事实类	事实类
为什么很多好听的歌、QQ音乐上都没有?	原因类	原因类
噼里啪啦的歌词谁有啊??或者网址也可以啊。。!	需求类	需求类
QQ音乐在哪里设置东西	方法类	方法类
谁有对岸的婚礼 MV或MTV?	需求类	需求类
[谁]知道[会唿吸的痛]的歌词...??	需求类	需求类
JAY的新专集怎么样啊	评价类	评价类
知道最近出什么新专集么?	枚举类	事实类
刘德华的巡回演唱会这一站在哪?	事实类	事实类
JAY的世界巡回演唱会有哪几站	枚举类	枚举类
jay的出生地是Where?	事实类	事实类
林俊杰在2008年在哪有演唱会?	事实类	枚举类
谁能告诉个可以看演唱会的网站?	需求类	需求类
最近哪里开演唱会,在哪?谁?谢谢知道的告诉我	枚举类	枚举类
SHE今年还会在哪里开演唱会?	事实类	枚举类
周杰伦写的一本书叫什么?	事实类	事实类
RAIN--有着多少的粉丝?	事实类	事实类
周杰伦的妈妈叫啥?	事实类	事实类
请问蓝白慢摇吧的开场三叫什么名字?	事实类	事实类
有没有一种爱让人不流泪谁唱的?	推荐类	事实类
BEYOND的历史谁告诉我啊?	描述类	描述类
谁有张杰新专辑	需求类	需求类
杰伦的新电影叫什么?	事实类	事实类
请问谁有《最劲爆的DJ》???	需求类	需求类
哪里可以了解到最新的音乐?	需求类	需求类
哪个网站可以把本地的音乐传到上去	需求类	需求类
谢霆锋新专辑到底好久出来哦?	事实类	事实类
王力宏的<改变自己>销量多少?	事实类	事实类
YOU 黑GIRL OOXX MP3的地址吗 ?	需求类	需求类
全球禁曲黑色星期天的歌词有人知道吗?	需求类	需求类
谁能告诉我<电影不能说的秘密>里的钢琴曲?	事实类	需求类
钢琴曲《彩云追月》是几级的曲子	事实类	事实类
你最希望JAY的下张专辑是什么风格的?	推荐类	评价类
大家有没有好听歌 ,可以告诉我吗?	推荐类	推荐类
哪韩国组合最好呢?	推荐类	推荐类
有多少人喜欢韩国?	事实类	事实类
任贤齐的 花好月圆 的歌词是什么	需求类	需求类
2009年周杰伦发什么专辑?	事实类	枚举类
韩国谁的歌曲好听?	推荐类	推荐类
台湾有多少男歌手?	事实类	事实类
你喜欢那个歌手的歌曲?	推荐类	推荐类
有谁知道刘德华是哪的人?	事实类	事实类
现在有多少人喜欢 许嵩?	事实类	事实类
下载伴奏的网址都有什么啊?	推荐类	需求类
女歌手唱歌最好听的是谁	推荐类	推荐类
爱情的娱乐圈好累?	评价类	评价类
周杰伦的《稻香》是为谁而写的?	事实类	事实类
谁能给我一颗心的距离的歌词?谢谢!	需求类	需求类
张杰吸引人的地方在哪?	评价类	评价类
四大天王有哪四个?	枚举类	枚举类
许姓的歌星有多少.列表出来.谢谢越全越好	枚举类	枚举类
刘德华是中国最红的歌星吗?	评价类	评价类
对陈冠希的看法?你认为呢?	评价类	评价类
周笔畅哪点你喜欢	评价类	评价类
谁能帮我找到这个音乐的名字	事实类	事实类
"""怎样的我才能让你更想念""是哪首歌的歌词啊?"	事实类	事实类
刘若英出过几张专辑	事实类	事实类
谁有战士的后代的前面的鼓点伴奏?	需求类	需求类
lalaladj请问他的歌词是什么呢	需求类	事实类
08年潘玮柏会会出专辑?	事实类	是非类
周杰伦出国几张专辑啊?	事实类	事实类
谁有<<改变自己>>专辑	需求类	需求类
在哪里可以买到SJ的专辑	需求类	需求类
哪里可以买到SJ-M的专辑?	需求类	需求类
请问歌手郑源是哪里人?	事实类	事实类
周杰伦的MV哪个拍的最好?	推荐类	推荐类
请问一下BEYOND原来有多少人?	事实类	事实类
哪里有关于明星的书	需求类	需求类
请列出李玟的专辑介绍?	描述类	描述类
谁有BOBO的所有歌的歌词?	需求类	需求类
滨崎步出道几年了?	事实类	事实类
你们喜欢滨崎步的哪里?	评价类	评价类
谁有BOBO组合的专辑呢?	需求类	需求类
还有人喜欢听张学友的个吗?	评价类	评价类
beyond三个人什么时候解散的啊?	事实类	事实类
谁有《现在的他对你好吗》的歌词 谢谢	需求类	需求类
觉得哪句歌词最让人感动?	推荐类	推荐类
韩国近几年有什么好玩的电视剧吗?	推荐类	推荐类
谁有 HEY! 的LRC歌词?	需求类	需求类
请问谁有歌曲《大支diss》的歌词呢!?	需求类	需求类
情醉的歌词是什么?	需求类	事实类
星星说爱你的歌词是什么?	需求类	需求类
谁知道“全世界的人都知道”的歌词?	需求类	需求类
歌词中有一个人匆匆忙忙过一生的歌词是?	事实类	事实类
BEYOND是最棒的乐队吗	评价类	评价类
BEYOND乐队原来有几个人啊?	事实类	事实类
Vae亲笔签名专辑多少元一张?	事实类	事实类
王力宏演过电影或者是电视剧吗?	枚举类	是非类
请问歌曲 活埋 的正确的歌词是什么?	需求类	事实类
怎样K歌问题	方法类	方法类
东方神起在中是韩国哪里人?	事实类	事实类
问RAIN 身高是多少>呢?	事实类	事实类
喜欢周杰伦哪点?	评价类	评价类
rain出道几年了?	事实类	事实类
目前是BEYOND的歌迷多还是JAY的歌迷多?	评价类	评价类
那里有纯女声的背景音乐?	需求类	需求类
有哪些歌曲的MV比较好看的?	推荐类	推荐类
请问 : 我爱你的歌词是什么 ?	需求类	需求类
谁知道JAY的图网?	需求类	需求类
罗志祥女朋友叫什么?	事实类	事实类
谁能提供欢快歌曲吖。。	推荐类	推荐类
哪里可以学翻唱后期制作的	需求类	需求类
vae这首歌的歌词?	需求类	事实类
《不知道自己明天该往那走》这是那一首歌的歌词呢?	事实类	事实类
有没比较长的钢琴独奏曲?	推荐类	推荐类
哪里有比较好的钢琴网站?	推荐类	推荐类
一架便宜点的二手钢琴卖多少钱?	事实类	事实类
林俊杰有公开自己的女友吗? 是谁呀?	事实类	事实类
有米简单的曲子来练吉他啊 ?	推荐类	推荐类
你们喜欢周杰伦吗?请说说喜欢和不喜欢的理由。	评价类	评价类
RAIN和周杰伦哪个更火	评价类	评价类
从QQ音乐上下载的歌是什么格式的	事实类	事实类
韩国有什么好电视睇啊	推荐类	推荐类
大家最喜欢的日本歌是什么?	推荐类	推荐类
QQ音乐可以记录歌曲,到任何地方都可以听吗?	是非类	是非类
和许嵩合唱‘浅唱’的女孩叫什么 ?	事实类	事实类
谁知道有些边哭边唱的歌例如《泪的告白》等类的。?	推荐类	推荐类
哪个英文歌手唱的歌很好听啊?	推荐类	推荐类
简单的浪漫歌词谁有?	需求类	需求类
有人喜欢JAY的退后吗?	评价类	评价类
最近JAY要去哪里开个人演唱会??	事实类	事实类
神起的最新演唱会在哪`	事实类	事实类
有没有可以看周杰伦演唱会的网站啊?	需求类	需求类
6月23号合肥张学友演唱会多少钱一张票啊?	事实类	事实类
周杰伦的现场演唱会在哪个网站看?	需求类	需求类
飞轮海现在在哪里开演唱会呢	事实类	事实类
beyond的号歌有几个啊?	事实类	事实类
飞轮海拍过什么片	枚举类	枚举类
刘德华住在哪里?	事实类	事实类
SHE 和 飞轮海谁比较红?	评价类	评价类
飞轮海组合有多少个人?	事实类	事实类
飞轮海的占有是什么时候写的	事实类	事实类
在什么网站里可以给飞轮海投票?	需求类	需求类
谁知道HOT的全部专辑????	枚举类	枚举类
哪里可以下载好听的说唱或最流行的歌曲(网站)	需求类	需求类
BEYOND是几人组合?	事实类	事实类
最近都有什么好看的歌推荐	推荐类	推荐类
杨丞琳是八几年的	事实类	事实类
我想要张杰的CD哪有正版	需求类	需求类
vae和别人合作的有多少歌?	事实类	事实类
谁有Jay的完美介绍```	描述类	描述类
JAY和谁最配`?	推荐类	推荐类
棒棒堂的演唱会在哪里开的?	事实类	事实类
棒棒堂最近出了什么唱片吖?	事实类	枚举类
棒棒堂谁最会跳舞	推荐类	推荐类
谁唱得歌比较好听?男的	推荐类	推荐类
哪里有劲爆的DJ歌曲?	需求类	推荐类
音乐之都在哪里?	事实类	枚举类
孙燕姿几张专辑?	事实类	事实类
谁知道孙燕姿的悲伤歌?	推荐类	推荐类
周杰伦新专辑《魔杰座》最新销量是多少	事实类	事实类
谁知道Jay何时再出下一张个人专辑阿,?	事实类	事实类
到录音棚录歌要多少钱呀?	事实类	事实类
我想知道 难道爱一个人有错吗 的歌词	需求类	需求类
钢琴曲的童话有谁能教我	需求类	方法类
哪里有需要演出的活动。。。。	推荐类	需求类
东方神起和SJ谁厉害些?	评价类	评价类
哪里有卖sj的全部CD	需求类	需求类
SJ从谁开始谁结束	枚举类	事实类
谁那有许嵩的歌的地址	需求类	需求类
有井柏然的最新专集吗?	需求类	是非类
JJ新专辑的主要风格是什么	事实类	事实类
飞轮海的《越来越爱》买多少钱?	事实类	事实类
林俊杰的年说如是多少?	事实类	事实类
谁知道<<明天过后>>歌词?	需求类	需求类
最近的什么专辑比较好听。。?	推荐类	推荐类
至上励合多会儿出新专辑?	事实类	事实类
中国有像superjunior这样的组合吗??	是非类	是非类
谁的日文歌最好听啊?	推荐类	推荐类
谁有任贤齐07年5月份的演唱会的专辑	需求类	需求类
有谁知道任贤齐我的偶像最近有什么新的信息啊 ???	描述类	描述类
近期谁在北京开演唱会了?	枚举类	枚举类
周杰伦的《我好忙》是什么时间出的	事实类	事实类
宝儿的“永恒”哪找?	需求类	需求类
谁有非主流音乐“PEERLESS”的歌词	需求类	需求类
现在有哪些欧美的歌手的歌好听啊	推荐类	推荐类
有谁知道刘德华生日多少?	事实类	事实类
SHE在2007年北京音乐典礼上的了什么奖?	事实类	事实类
谁知道经典的演唱会	推荐类	推荐类
谁知道蔡依林有没qq是多少?	事实类	需求类
在黑涩会鈡谁最大?	事实类	事实类
黑涩会美眉有几位?	事实类	事实类
娱乐圈最新动态可以在哪里看?	需求类	需求类
谁知道棒棒堂有几个人???	事实类	事实类
有没有人知道伤了你的心我好伤心的歌词	需求类	事实类
时间仿佛可以停了```是哪首歌的歌词?	事实类	事实类
张杰专辑明天过后多少钱一张	事实类	事实类
李连杰出身哪里	事实类	事实类
熊汝霖现在干什么呢 出专辑了吗	描述类	描述类
中国一共有多少名明星?	事实类	事实类
有多少你喜欢安七炫	评价类	事实类
周杰伦是唱哪首歌开始走红的	事实类	事实类
超级玛丽的rap版谁给个连接?	需求类	需求类
你喜欢看怎样的的明星?	推荐类	推荐类
如何下载MP4格式的歌曲	方法类	方法类
如果还有明天这首歌最后说唱部分的歌词是什么	需求类	需求类
